so far,sejauh ini
i really recommend this product,aku benar benar merekomendasikan produk ini
its not really that good but its not awful either,tidak terlalu bagus tapi tidak terlalu buruk
really really really love this product,benar benar suka sama produk ini
must have it,harus punya
overall this is a good product,secara keseluruhan ini adalah produk yang bagus
overall this primer is really good,secara keseluruhan primer ini sangatlah bagus
good job,kerja bagus
good for oily skin,bagus untuk kulit berminyak
not that good,tidak begitu bagus
which is good,yang mana bagus
freaking good,benar benar bagus
its still good,masih bagus
good product,produk bagus
didnt give good impact,tidak memberikan dampak yang baik
say goodbye to retouch,katakan selamat tinggal untuk retouch
it s a good product,ini produk yang bagus
but not as good as i expected,tapi tidak sebagus yang aku harapkan
its still a good product,ini masih produk yang bagus
which is good for me,yang dimana bagus untuk aku
so overall is good,jadi secara keseluruhan bagus
oily is not a good look,berminyak bukan tampilan yang bagus
this is a good product for you,ini adalah produk yang bagus untuk anda
wtih the price it is good,dengan harganya ini bagus
a good quality with a low price product,produk dengan kualitas bagus dan harga murah
this is a good dupe for the smashbox photo finish foundation primer,ini adalah duplikasi yang bagus untuk smashbox photo finish foundation primer
good drugstore primer,primer drugstore yang bagus
and as compare to benefit,dan dibandingkan dengan benefit
its fine,tidak apa apa
it s fine,tidak apa apa
fine lines,fine lines
i personally bukan yang punya large pores,aku secara pribadi bukan yang punya pori pori besar
somehow this product does nothing to my skin,entah bagaimana produk ini tidak melakukan apapun ke kulitku
feels light on my skin,terasa ringan dikulitku
bye bye,sampai jumpa
glue like,seperti lem
gel like,seperti gel
like salep,seperti salep
i like it,aku suka ini
me likey,aku suka
my best friend for my scars,teman terbaikku untuk luka lukaku
feelin like,merasa seperti
looks like baby skin,terlihat seperti kulit bayi
i dont like,aku tidak suka
so like it,sangat suka
like a baby,seperti bayi
so i like it,jadi saya suka ini
like baby skin,seperti kulit bayi
skin like a baby,kulit seperti bayi
like a baby s but,seperti pantat bayi
that s true,itu benar
shine bright like a diamond,bersinar terang seperti berlian
blend perfectly,tercampur dengan sempurna
easy to blend,mudah untuk dicampur
blending complexions,mencampur complexion
blends well,tercampur dengan baik
long lasting,tahan lama
a little goes a long way,sedikit bertahan lama
this whole tube will last you a long time,satu kemasan ini akan bertahan lama untukmu
one of the best primer from drugstore,salah satu primer terbaik dari drugstore
as long as you do your double cleanse step,selama anda melakukan tahap dua kali pembersihan anda
long wearing,tahan lama
longlast makeup,makeup tahan lama
so cute,imut banget
eye catching,menarik perhatian
well i bought this product from official store on shopee,nah saya membeli produk ini dari official store di shopee
lock pore,mengunci pori
daily use,penggunaan sehari hari
daily used,digunakan sehari hari
daily makeup,makeup sehari hari
daily makeup routine,rutinitas makeup sehari hari
on a daily basis,sehari hari
daily wear,pemakaian sehari hari
velvety texture,bertekstur velvety
dont forget,jangan lupa
first impression,kesan pertama
dry skin,kulit kering
oily skin,kulit berminyak
it doesn t work,tidak bekerja
i prefer not to use it,aku lebih suka untuk tidak menggunakannya
minimize dull skin also your pores,meminimalkan kulit kusam juga pori pori anda
so i would prefer to use smashbox pore filler,jadi saya lebih suka menggunakan smashbox pore filler
full face,satu wajah
fall in love bgt with this product,jatuh cinta banget sama produk ini
fall in love,jatuh cinta
dealing with pores,berurusan dengan pori pori
i have no problem with this,aku tidak punya masalah dengan produk ini
but i m still satisfied with the result,tapi saya tetap puas dengan hasilnya
combination to oily,kombinasi berminyak
combination skin,kulit kombinasi
combination oily to dry,kombinasi berminyak kering
which is,yang dimana
do what it claims,melakukan apa yang diklaim
pore less visible,pori kurang terlihat
look makeup,tampilan makeup
create makeup look geje,bikin tampilan makeup ga jelas
final looknya,tampilan akhirnya
natural look,tampilan natural
its not a look,itu bukan tampilan
look smooth,terlihat halus
flawless look,tampilan flawless
moisturize properly,melembapkan dengan benar
won t repurchase,tidak akan beli lagi
finish look,tampilan finish
natural makeup look,tampilan makeup natural
kombinasi to oily,kombinasi berminyak
normal to oily,normal berminyak
normal to dry,normal kering
kombinasi to dry,kombinasi normal
it s okay,tidak apa apa
its okay,tidak apa apa
its oke,tidak apa apa
it s oke,tidak apa apa
but for me it s a big no,tetapi bagi aku itu sangat tidak
but for me i think its not useful on my face i dunno,tetapi bagi aku aku pikir ini tidak berguna di wajahku aku ga tau
absolutely no,sama sekali tidak
absolutely yes,pastinya ya
no fragrance,tidak ada wewangian
fragrance free,tanpa wewangian
my best primer,primer terbaikku
it does nothing,tidak melakukan apa apa
soft makeup,makeup ringan
a must have items,produk harus punya
must have item,produk harus punya
on budget,sesuai anggaran
budget friendly is a big ol bonus,ramah anggaran adalah bonus besar
notice able,kalihatan
extra large,ekstra besar
uneven skin texture,tekstur kulit tidak rata
uneven skin,kulit tidak rata
light cream,light cream
skin light,ringan diwajah
light weight,ringan
would love to repurchase this again,akan senang untuk membeli ini lagi
to be hineat,sejujurnya
but these product not too bad for me,tetapi produk ini tidak terlalu buruk untukku
too heavy,terlalu berat
totally gone,benar benar hilang
my best pore primer,primer pori terbaikku
one of my favorite primer,salah satu primer favoritku
first time,pertama kali
for me buy more,untukku beli lagi
for me it s a no no,untukku ini tidak
for me,untukku
i think it would do good for me but it s not,kupikir itu akan baik untukku ternyata tidak
sorry it s a no for me,maaf tidak untukku
not for me,bukan untukku
so it s a no for me,jadi tidak untukku
i think it is the dupe of benefit porefessional for me,aku pikir ini adalah imitasi dari benefit porefessional untukku
but benefit is better,tapi benefit lebih baik
it s a big no to use this product,larangan keras untuk tidak menggunakan produk ini
put high hopes,menaruh harapan tinggi
not bad,tidak buruk
price point,titik harga
turns out,ternyata
i think this really make it smooth when i use make up but it is not,kupikir ini membuatnya halus ketika aku pakai makeup tapi tidak
but that is it,tapi itu dia
is a must,sebuah keharusan
i love it,aku suka
this is my very first primer,ini adalah primer pertamaku
be careful,hati hati
the best,terbaik
not that bad,tidak begitu buruk
love hate relationship,hubungan cinta benci
hate love relationship,hubungan benci cinta
high end,kelas atas
this product doesn t hide my large pores but it makes my face smoother,produk ini tidak menyembunyikan pori pori besarku tapi membuat wajahku lebih halus
good recommend,rekomendasi bagus
i m not gonna purchase it,aku tidak akan membelinya
easy to apply,mudah di aplikasikan
i love the pink ones also,aku juga suka pink
but i would think twice to,tapi aku akan berpikir dua kali untuk
not bad at all,tidak buruk sama sekali
so that s all,jadi itu saja
to be honest,sejujurnya
highly recommend,sangat disarankan
special occasion,acara khusus
nothing special about this product,tidak ada yang spesial dari produk ini
nothing special,tidak ada yang special
peeling gel,peeling gel
but thats okay,tapi tidak apa apa
first of all,pertama tama
i think,kupikir
wort it,layak
stick that well,menempel dengan baik
too bad,sayang sekali
not my fave,bukan favoritku
still lotta other better primer,masih banyak primer lain yang lebih baik
my impression is this product make my face get more oily,kesanku adalah produk ini membuat wajahku lebih berminyak
love hate,cinta benci
first primer,primer pertama
if u know what i mean,kalau kamu tau apa yang kumaksud
so sorry,maaf banget
im so sorry,aku maaf banget
siliconey base primer,primer berbahan dasar silikon
it does help my makeup glides on more smoothly,membantu makeup meluncur lebih lancar
to lasts longer,untuk tahan lama
feels so siliconey,bersilikon banget
i say no,kukatakan tidak
totally gonna,benar benar akan
silocone based,berbahan dasar silikon
nice primer,primer yang bagus
as it claims,sesuai yang diklaim
i dont know,aku tidak tahu
best product,produk terbaik
i m not into a primer user,aku tidak menjadi pengguna primer
so i will definitely,jadi aku pasti
so sad,sangat sedih
make sure,pastikan
i dont think so,kupikir tidak demikian
because the price,karena harganya
so cheap isn t,murah banget kan
so smooth,sangat halus
show up,muncul
i love this product,aku suka produk ini
i luv it,aku suka
i luv this product,aku suka produk ini
luv it,suka
love it,suka
haven t experienced it before when using a moisturizer gel,belum pernah mengalami sebelumnya saat memakai moisturizer gel
affordable price,harga terjangkau
a bit pricey for drugstore item,agak mahal untuk barang drugstore
not available in indo,tidak tersedia di indonesia
im so happy,aku sangat senang
of course,tentu saja
of course not,tentu saja tidak
so it can save your,sehingga bisa menyelamatkan
tell me plis,tolong kasih tau aku
silikon based,berbahan dasar silikon
my lovely primer ever,primer paling kesayanganku
bad batch,batch buruk
kinda tacky,agak norak
problem solved,masalah selesai
here are the reviews,berikut review nya
base product,produk dasar
base products,produk produk dasar
no perfume,tidak ada parfum
just so so,begitu saja
make your skin poreless jusr like baby skin,membuat kulitmu tidak berpori seperti kulit bayi
does a decent job in minimizing pores,melakukan pekerjaan yang cukup baik dalam meminimalkan pori pori
i think i fell for this product for its simplicity,kupikir aku jatuh cinta ke produk ini untuk kesederhanaannya
my go to everyday primer,primer ku sehari hari
im using this product before any bb cream or foundie,aku menggunakan produk ini sebelum bbcream atau foundation apapun
on point,tepat sasaran
it s that instant,seinstan itu
smooth skin,kulit halus
through of the day,sepanjang hari
glide on smoothly,meluncur mulus
glides on smoothly,meluncur mulus
glides easily,meluncur dengan mudah
why not,kenapa tidak
glow and bright,bersinar dan cerah
so love,sangat suka
scar bekas,luka bekas
acne scars,bekas luka jerawat
so i put high expectation on this product,jadi aku menaruh harapan tinggi pada produk ini
not gonna use this anymore,tidak akan memakai ini lagi
but seriously,tapi serius
totally recommended,benar benar direkomendasikan
depends on,tergantung pada
guys this one is super smooth,teman teman yang satu ini sangat halus
will try,akan mencoba
let see,mari lihat
im so love it,aku sangat suka
so im love it,jadi aku suka
maybe this it the one of my favorite drugstore primer,mungkin ini salah satu primer drugstore favoritku
move around,bergerak disekitar
this product is not recommended,produk ini tidak direkomendasikan
but still recommended,tapi tetap direkomendasikan
as baby skin,seperti kulit bayi
i don t think so,kukira tidak demikian
heavier makeup,makeup yang lebih berat
vlogger made me buy this,vlogger membuatku membeli ini
i ll review for this product,saya akan review produk ini
as smooth as baby skin,sehalus kulit bayi
kombinasi tau oily,kombinasi berminyak
it claims that product reduce pore,mereka mengklaim produk tersebut mengurangi pori
it claim,produk ini mengklaim
oil paper,kertas minyak
so maybe its kinda hard to find,jadi mungkin agak sulit ditemukan
best primer,primer terbaik
in less than hours after apply,dalam waktu kurang dari jam setelah aplikasi
a little goes along way,sedikit bertahan lama
dry skin type,jenis kulit kering
i m fans of maybelline product,aku fans dari produk maybelline
not completely poreless,tidak sepenuhnya tidak berpori
this stuff is awesome,barang ini luar biasa
skin preparation,persiapan kulit
skin prep,persiapan kulit
skin typenya,jenis kulitnya
skin texture,tekstur kulit
not gonna,tidak akan
baby skin,baby skin
baby pore skin,baby pore skin
second skin,kulit kedua
babu skin,baby skin
sensitive skin,kulit sensitif
my oily skin,kulit berminyakku
it didn t work well on my skin,ini tidak bekerja dengan baik pada kulitku
best drugstore primer,primer drugstore terbaik
skin blurring,menyamarkan kulit
skin instant pink,skin instant pink
skin primer,primer kulit
good for skinpore,bagus untuk pori kulit
poreless smooth skin,kulit halus tidak berpori
bb skin,baby skin
skin tone,warna kulit
it accentuated my oily skin,ini menonjolkan kulit berminyakku
mattifying the skin,bikin kulit matte
blur pores,menyamarkan pori pori
bluring pores,menyamarkan pori pori
pore eraser,pore eraser
pore minimizing,meminimalkan pori
pore less,poreless
clogged pores,pori pori tersumbat
clogged pore,pori tersumbat
pore erasernya,pore eraser
pore ranger,pore ranger
pore minimizer,pore minimizer
large pores,pori pori besar
pore minimizing primer,primer yang meminimalkan pori
make sure to cleanse very thoroughly,pastikan untuk membersihkan dengan sangat teliti
pore primer,primer pori
minimize pores,mengecilkan pori pori
pore filling,pengisi pori
clogging pores,menyumbat pori pori
clogging pore,menyumbat pori
pore rangernya,pore ranger
no pores,tidak ada pori pori
clog pore,menyumbat pori
clog pores,menyumbat pori pori
pore earaser,pore eraser
i dunno,aku ga tau
blurring pores,menyamarkan pori pori
pore clog,menyumbat pori
pore blurringnya,menyamarkan porinya
pore minimaizing,meminimalkan pori
pore filling primer,primer pengisi pori
pore blurring,menyamarkan pori
pore cleanser,pembersih pori
it makes my pore clogged,ini membuat poriku tersumbat
pore clogs,pori tersumbat
minimalizing pore,mengecilkan pori
my large pore,pori besarku
i have a large pores,aku punya pori pori besar
large pore,pori besar
ngeblurin pore,menyamarkan pori
big poresku,pori pori besarku
blured your pores,menyamarkan pori porimu
blurred your pores,menyamarkan pori porimu
fills pores,mengisi pori pori
pore mimizingnya,meminimalkan porinya
pore erase,pore eraser
claim about pores,klaim tentang pori pori
cloged my pores,menyumbat pori poriku
clogged my pores,meyumbat pori poriku
clogs my pores,menyumbat pori poriku
pore appearance nya lbh minimize,penampakan porinya lebih kecil
they clogged my pores,mereka menyumbat pori poriku
pore erashernya,pore eraser
pore clogged,pori tersumbat
pore minimizernya,pore minimizer
fill in pores,mengisi pori pori
fill in pore,mengisi pori
eraser pores,penghapus pori pori
pores detected area,area yang terdeteksi pori pori
i don t find special for longlasting time,aku tidak merasa ini spesial untuk tahan lama
pore filler,pengisi pori
minimize pore,mengecilkan pori
recommended for people that doesnt have a very large pore,direkomendasikan untuk orang orang yang tidak memiliki pori yang sangat besar
big pore,pori besar
pore controlnya,pore control
ngeblur pore,menyamarkan pori
no pore,tidak ada pori
over pore,pori lebih
pore clogging,penyumbatan pori
pore fessional,porefessional
love this pore eraser,suka pore eraser ini
smoothing pores,menghaluskan pori pori
smoothing pore,menghaluskan pori
pores erase,pore eraser
or maybe it s just my pores,atau mungkin ini hanya pori poriku
my pores,pori poriku
didnt blur out pores,tidak menyamarkan pori pori
spot pores,titik pori pori
my bih pores,pori poriku yang besar
this product doesn t hide your large pores at all,produk ini tidak menyembunyikan pori pori besarmu sama sekali
wide pore,pori lebar
ngeclogging pores,menyumbat pori pori
blurs pores,menyamarkan pori pori
ngeclog pori,menyumbat pori
clogged prone,rawan tersumbat
oil control,kontrol minyak
oil kontrolnya,kontrol minyaknya
oil controlnya,kontrol minyaknya
combination oily,kombinasi berminyak
oil control film,oil control film
oily control,kontrol berminyak
oily sensitive,sensitif berminyak
to much oily,terlalu berminyak
no oily skin,tidak ada kulit berminyak
tea tree oil,minyak pohon teh
oily skinku,kulit berminyakku
over oily,berminyak lebih
so oily,sangat berminyak
oil control was nonexistent,tidak ada kontrol minyak
oily kontrolnya,kontrol berminyaknya
oil controlny,kontrol minyaknya
oily to dry,kering berminyak
less oily,kurang berminyak
smashbox oil free primer,smashbox oil free primer
claim abt it so,klaim begitu
ver flawless,sangat flawless
so flawless,sangat flawless
as a blurring primer,sebagai blurring primer
blurred out,menyamarkan
blur primer,primer menyamarkan
blurring primer,blurring primer
slightly blurred,sedikit tersamarkan
blurry efek,efek samar
not repurchase,tidak beli kembali
big no,tentu tidak
so i won t repurchase this,jadi aku tidak akan beli kembali ini
so i will definitely repurchase,jadi aku pasti akan beli kembali
i will repurchase,aku akan beli kembali
i would think twice to repurchase,aku akan berpikir dua kali untuk beli kembali
still ok,masih ok
will not recommend this or repurchase this product,tidak akan merekomendasikan ini atau membeli kembali produk ini
definitely wont repurchase it,pasti tidak akan beli kembali
of course i will,tentu saja aku akan
i won t repurchase,aku tidak akan beli kembali
may be,mungkin
will not repurchase,tidak akan beli kembali
i say no to repurchase,kukatakan tidak untuk beli kembali
say no untuk repurchase,katakan tidak untuk beli kembali
say yes to repurcharge,katakan ya untuk beli kembali
