langsug,langsung
akubaru,aku baru
kulanjutin,kulanjutkan
guede,besar
podo,sama
didapetin,didapatkan
jatohnya,jatuhnya
adanga,adanya
terbaiq,terbaik
hasilnga,hasilnya
sudahla,sudahlah
ngembaliin,mengembalikan
kebeli,terbeli
daerag,daerah
ganempel,ga nempel
bangetberasa,banget berasa
mure,murah
ngakalin,mengakali
nymarin,menyamarkan
ngawang,melayang
beberpa,beberapa
akalin,akali
nyium,mencium
ngerapetin,merapatkan
naham,menahan
gamake,ga pakai
ngehambat,menghambat
dupesnya,imitasinya
nackal,nakal
terksturnya,teksturnya
nyesal,menyesal
ngebersihinnya,membersihkannya
knapa,kenapa
ganahan,ga nahan
akutuh,aku tuh
cona,coba
bangedh,banget
gidu,begitu
termausk,termasuk
gabegitu,ga begitu
sminggu,satu minggu
akhrny,akhirnya
awalany,awalnya
lus,halus
sygnya,sayangnya
wlopun,walaupun
icukup,cukup
seengganya,setidaknya
jeriwitin,jerawatan
dna,dan
tekstuenya,teksturnya
naikin,menaikkan
dam,dan
anggep,menganggap
ditiban,ditimpa
ketebelan,terlalu tebal
ngeletek,mengelupas
nanges,menangis
benrr,bener
mantoel,mantap
gabutuh,ga butuh
ngiler,tergiur
kliat,terlihat
smcm,semacam
ajadeh,aja deh
ngerasanya,merasanya
dang,dan
karema,karena
habisinnya,habiskannya
ngeganggu,mengganggu
sist,sis
dongpadahal,dong padahal
sowi,maaf
gaenak,ga enak
gasuka,ga suka
gapingin,ga pingin
ngebangu,membantu
kao,kok
gakada,gak ada
capedeh,cape deh
ngolesin,mengoleskan
abisnya,habisnya
aga,agak
loleh,boleh
ngrbuat,membuat
mkdel,model
dalem,dalam
nyampur,tercampur
ngehapus,menghapus
ihgemes,ih gemas
pisan,juga
gaboleh,ga boleh
gamakan,ga makan
mukak,muka
ngeisi,mengisi
seolaholah,seolah olah
ngejogrog,tampil
grs,garis
srg,sering
okeoke,oke oke
ngisinya,mengisinya
nemplokin,menempelkan
gabiasa,ga biasa
kenapaya,kenapa ya
ajagitu,aja gitu
ngakalinnya,mengakalinya
dipakei,dipakai
buet,buat
ancurnya,hancurnya
sprtinya,sepertinya
bo,breakout
ngelupas,mengelupas
dksh,dikasih
dah,sudah
kako,kalau
alusan,halusan
samse,sama sekali
applikasiin,aplikasikan
bantuin,membantu
nd,dan
priemer,primer
ngresap,meresap
keduduk,tidak terpakai
mayanlah,lumayanlah
buwanyak,banyak
sekece,sekeren
ngunci,mengunci
pengem,pengen
kekeuh,keras kepala
mampus,mati
engganya,enggaknya
wlpun,walaupun
ngebersiinnya,membersihkannya
pakebuat,pake buat
kondanganyah,kondangan yah
ece,olok
nyerepnya,menyerapnya
biasnanya,biasanya
ngecobain,mencoba
teken,tekan
siapsiap,siap siap
sedi,sedih
sebenernga,sebenernya
minyaka,minyakan
solanya,soalnya
gagitu,ga gitu
sukla,suka
ngeluarinnyqa,mengeluarkannya
mukatu,muka tu
kenyel,kenyal
itusih,itu sih
yanh,yang
ngepek,berefek
akhirya,akhirnya
berekpektasi,ekspektasi
ekspetasi,ekspektasi
ekspetasiku,ekspektasi
tdinya,tadinya
cuco,cantik
nongolnya,munculnya
ambles,tenggelam
ganyaman,ga nyaman
grgr,gara gara
dandanin,dandani
nyebar,menyebar
jelaskin,jelaskan
nyisa,tersisa
ketemen,keteman
beraniin,memberanikan
ngejanjel,mengganjal
ngeh,tau
hsilnya,hasilnya
rsny,rasanya
kurg,kurang
kynya,kayaknya
isinnya,isinya
keki,kaku
gpp,enggak apa apa
sia,dia
benerin,benar
saha,saja
gakpake,gak pake
jendolan,benjolan
kemissquenanku,kemiskinanku
gercep,gerak cepat
numbuh,tumbuh
berkomedo,komedo
komdedonya,komedo
meleber,meluber
bangus,bagus
becanda,bercanda
lembutin,melembutkan
menyuluruh,menyeluruh
wrnany,warnanya
jdiny,jadinya
aplgi,apalagi
bntuk,bentuk
mininy,mininya
brbau,berbau
mmpu,mampu
mnutupi,menutupi
mnurutku,menurutku
gra,gara
ketahananny,ketahanannya
brtahan,bertahan
slma,selama
brminyak,berminyak
marem,mantap
ngoles,mengoles
kuolesin,kuolesi
seudah,sesudah
tll,terlalu
poriporinya,pori porinya
galama,ga lama
bruntus,beruntus
tekaturnya,teksturnya
diatu,dia tu
wewangian,wangi
mnrt,menurut
berekspektasi,ekspektasi
beraktifitas,beraktivitas
makek,make
ngrasanya,merasanya
foundieku,foundation
tetel,tetep
jele,jelek
diapliksiin,diaplikasikan
soalnua,soalnya
brutusan,beruntusan
gabiasanya,ga biasanya
biki,bikin
ilangnya,hilangnya
memank,memang
mngkn,mungkin
diki,dikit
pikri,pikir
ekspetasinya,ekspektasi
tngan,tangan
kea,kek
mbuka,terbuka
berbentuj,berbentuk
ngira,mengira
enggk,enggak
payar,payah
klebihannya,kelebihannya
msing,masing
kemasanny,kemasannya
abisin,menghabiskan
dirasain,dirasakan
kepo,ingin tahu
gjd,ga jadi
doyan,suka
isen,iseng
ngeracunin,meracuni
gangaruh,ga berpengaruh
ajasi,aja si
nganjurin,menganjurkan
larna,karena
bagush,bagus
fondy,foundation
mengaplikasiin,mengaplikasikan
pakeknya,pakainya
ngarus,berpengaruh
prmh,pernah
nutuppin,menutupi
segesa,sebesar
sehingg,sehingga
ngilanginnya,menghilangkannya
samoe,sampe
shopr,shopee
adi,jadi
bikon,bikin
termasar,tersamar
genempel,menempel
akumalah,aku malah
diratainnya,diratakannya
miropnya,miripnya
pkknya,pokoknya
nembel,menempel
bgyz,banget
mqirnya,berpikirnya
bgtz,banget
bqin,bikin
bernapas,bernafas
menuamarkan,menyamarkan
mintak,minyak
ngekontrol,mengontrol
mskipun,meskipun
ngrsanya,merasanya
menuh,penuh
menuhin,penuhi
berasanya,merasanya
bats,banget
uprit,sedikit
gabuat,ga buat
gagerak,ga gerak
komedan,komedo an
ngeraba,meraba
nyampek,sampai
ngumpul,mengumpul
berminya,berminyak
ambyar,hancur
anjang,panjang
samgat,sangat
ngemudahin,memudahkan
sebelumny,sebelumnya
ngebet,pengin
nyarinya,mencarinya
ndak,tidak
gituloh,gitu loh
gcocok,ga cocok
letakin,meletakkan
lngsg,langsung
kayag,kayak
kayg,kayak
fondiku,foundation
dilapisin,dilapisi
ngetes,menguji
sukabanget,suka banget
standart,standar
yakan,ya kan
ngklaim,mengklaim
yekan,ya kan
ssuatu,sesuatu
hargany,harganya
besahabat,bersahabat
deng,sih
jelasin,jelasi
oranglain,orang lain
tervafo,terfavorit
dubenya,duplikasinya
ngeresapnya,meresapnya
gitusi,gitu sih
kulitny,kulitnya
nda,tidak
trsamarkan,tersamarkan
ngeringkes,meringkus
ptimer,primer
nyengat,menyengat
cicipin,cicipi
combi,kombinasi
nyentuh,menyentuh
dikalah,dikala
gedong,besar
karene,karena
ngebersihin,membersihkan
ditimpuk,ditimpa
ngelapisi,melapisi
iyalah,iya lah
racunin,racuni
enteng,ringan
pemakainnya,pemakaiannya
ntar,nanti
terhukanya,terbukanya
tegoda,tergoda
ganutupin,ga menutupi
yaiyalah,ya iya lah
ngefeknya,berefeknya
ngelindungin,melindungi
sebelom,sebelum
pakeny,pakainya
diindo,di indonesia
nimbul,menimbulkan
nutipin,menutupi
poriporiku,pori poriku
jarangin,jarang
paken,pakai
nitip,titip
sg,singapore
segambreng,banyak
engap,pengap
luchu,lucu
gakkrn,gak karena
bbrapa,beberapa
mgebuat,membuat
aplikasiinnya,aplikasikannya
farsya,farasya
kedalem,kedalam
poro,pori
ngebikin,membuat
tmnku,temanku
ngawetin,mengawetkan
kyknya,kayaknya
moga,semoga
berhentin,berhentikan
mudarin,memudarkan
trjangkau,terjangkau
lamaz,lama
terkece,terkeren
tertama,terutama
numpuk,menumpuk
zad,sedih
lgsgg,langsung
unyu,lucu
dibandingin ,dibandingkan
kayakna,kayaknya
sik,sih
gratisongkir,gratis ongkir
nemplok,menempel
berekspetasi,ekspektasi
fikir,pikir
blang,belang
sdgkan,sedangkan
nutupin,menutupi
poriporian,pori porian
gitulo,gitu loh
gangan,tangan
kalay,kalau
juha,juga
porefesionalnya,porefessional
yaw,ya
habisin,habiskan
sponbob,spongebob
senutup,semenutup
lmyn,lumayan
semehong,semahal
jrawat,jerawat
ditawarin,ditawari
komedonya,komedo
siliko,silikon
dbawah,dibawah
maubellin,maybelline
fondationnya,foundation
fondationku,foundation
ssuai,sesuai
dibaurin,dibaurkan
alur,halus
dabes,terbaik
rasananya,rasanya
tunggin,tunggui
meresp,meresap
fd,foundation
fdnya,foundation
aera,area
ancyur,hancur
nyante,santai
meninggalkn,meninggalkan
cuman,cuma
keliatn,keliatan
nutupnya,menutupnya
dicobain,dicoba
kekepoan,keingin tahuan
zuzur,jujur
yauda,ya sudah
samaskali,sama sekali
kliatannya,kelihatannya
gabagus,ga bagus
youtubenya,youtube
keitung,kehitung
exp,expire
ptoduk,produk
pra,para
utube,youtube
eyke,aku
pakeini,pakai ini
emejing,luar biasa
ngambil,mengambil
diapliksikan,diaplikasikan
nampaknya,tampaknya
nampak,tampak
tekaturenya,teksturnya
ndk,tidak
tgn,tangan
sihkulit,sih kulit
dibicarain,dibicarakan
tektur,tekstur
wahgela,wah gila
paduin,padukan
awetin,awetkan
gagaris,ga garis
ekspektasinya,ekspektasi
ngubah,mengubah
suh,sih
kostan,kost
poropori,pori pori
kuliat,kulit
bohon,bohong
kepengen,kepengin
dibelilah,beli
keheul,kesal
masyi,masih
ndri,sendiri
ekpektasi,ekspektasi
tambahkeliatankayak,tambah keliatan kayak
megangnya,pegangnya
mending,lebih baik
trlu,terlalu
mejik,ajaib
gamurahan,ga murahan
kepincut,tertarik
disenayan,di senayan
pelapis,pelapisan
dimulusin,dimuluskan
fokusin,fokuskan
suaya,supaya
lebi,lebih
beautyvlogger,beauty vlogger
gadeh,ga deh
nyembuhin,menyembuhkan
ngemol,ke mall
akhirna,akhirnya
ngandalin,mengandalkan
bikij,bikin
cendering,cenderung
dipertanggungjawabkan,tanggung jawab
sebutin,sebutkan
nukang,tukang
maksa,memaksa
pakr,pake
jengjeng,jeng jeng
ngelembutin,melembutkan
reviews,review
tralu,terlalu
variant,varian
walhasil,alhasil
ngeharepin,mengharapkan
samperin,datangi
terjangkay,terjangkau
mehonglita,mahal
ngeaplikasiin,mengaplikasikan
ngurang,kurang
betuk,betul
prah,parah
tyh,tuh
cobi,coba
munculah,muncul
dngn,dengan
dipaduin,dipadukan
padaha,padahal
nontonin,menonton
berekspektasilah,ekspektasi
trnyt,ternyata
serasa,rasa
digarisbawahi,digaris bawahi
dsb,dan sebagainya
diatuh,dia tuh
gabeda,ga beda
jeriwits,jerawat
wanginy,wanginya
jaid,jadi
duoe,duplikasi
poto,foto
gedhe,besar
ekpetasi,ekspektasi
digabungin,digabungkan
sebel,sebal
dibandingin,dibandingkan
hrga,harga
kecepetan,kecepatan
komedoku,komedo ku
siy,sih
dey,deh
terkesan,kesannya
bagis,bagus
minyk,minyak
bgtbgt,banget banget
mlembutkan,melembutkan
shingga,sehingga
sebenrnya,sebenernya
bsknya,besoknya
nyamarinnya,menyamarkan
dragstore,drugstore
meminimasi,meminimalisasi
oada,pada
kentara,kelihatan
pemakainya,pemakaiannya
lumaya,lumayan
monggo,silahkan
dikeluarin,dikeluarkan
os,onlineshop
pertamayang,pertama yang
ketara,kelihatan
bberapa,beberapa
ngereview,review
ngerusak,merusak
seginian,segini
haralan,harapan
beaty,beauty
itungannya,hitungannya
sekitat,sekitar
dioake,dipake
padahalngga,padahal engga
muahal,mahal
uka,suka
tiban,timpa
mesti,harus
po,preorder
proi,pori
dapetinnya,mendapatkannya
senengnya,senangnya
por,pori
nyantai,santai
syangnya,sayangnya
didistribusiin,didistribusikan
bag,bagian
menggaggu,mengganggu
pekejingnya,kemasannya
memakainya,memakai
diinginka,diinginkan
riasanya,riasannya
tlalu,terlalu
ngebaur,membaur
notabennya,notabenenya
bhay,dadah
kujadiin,kujadikan
anzur,hancur
dijelaskin,dijelaskan
sekalu,sekali
nyobainnya,mencobanya
trll,terlalu
